model,feature_set,accuracy,precision,recall,f1,roc_auc
LogisticRegression,mini,0.7055,0.7033,0.7055,0.6991,0.7574
XGBoost,mini,0.7128,0.7116,0.7128,0.7059,0.7782
LogisticRegression,comprehensive,0.7081,0.7056,0.7081,0.7056,0.762
XGBoost,comprehensive,0.7214,0.7192,0.7214,0.7173,0.7917
LogisticRegression,maxi,0.7072,0.707,0.7072,0.7071,0.7639
XGBoost,maxi,0.73,0.7279,0.73,0.7271,0.804
FNN,mini,0.7135,0.7115,0.7135,0.708,0.7757
FNN,comprehensive,0.7196,0.7175,0.7196,0.7152,0.7872
FNN,maxi,0.7182,0.7158,0.7182,0.7147,0.7839
ResFNN,mini,0.7087,0.7124,0.7087,0.7099,0.7771
ResFNN,comprehensive,0.7152,0.721,0.7152,0.7167,0.7891
ResFNN,maxi,0.7057,0.7166,0.7057,0.7075,0.7846
